complaint_text,language,category,urgency,department,expected_email
ساکیت مین روڈ پر ایک والو لیک ہو رہا ہے جس سے روزانہ ہزاروں لیٹر پانی ضائع ہو رہا ہے۔ ڈی جے بی والے سو رہے ہیں کیا؟,Urdu,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
"ए जल बोर्ड, नजफगढ़ में तीन दिन से एक बूंद पानी नइखे आइल। हमनी के प्यासे मरल जा तानी जा, जल्दी से टैंकर भेजवाइ अउर सप्लाई ठीक करीं।",Bhojpuri,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"नल में से एकदम करिया अउर गंदा पानी आवत बा, जवना से बहुत महक आ रहल बा। ई पानी पिए त का नहाए लायक भी नइखे, जल्दी से पाइप चेक करवाईं।",Bhojpuri,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
नजफगढ़ के मेन रोड पर पाइप फट गइल बा अउर फालतू के पानी बह रहल बा। केहू के भेज के मरम्मत करवा दीं ताकि पानी बर्बाद ना होखे।,Bhojpuri,Water,Low,Delhi Jal Board,cgro@delhijalboard.nic.in
"मोटर चला-चला के थक गइनी बाकिर पानी एकदम नइखे आवत, प्रेशर बहुत कम बा। ऑफिस जाए के टाइम हो जाला अउर घर में बाल्टी भर पानी नइखे, जल्दी समाधान करीं।",Bhojpuri,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"पिछला हफ्ता से पानी के सप्लाई बहुत कम हो गइल बा अउर टाइम भी फिक्स नइखे। कखनो रात के 2 बजे आवेला त कखनो आवे ही नइखे, हमनी के बहुत परेसानी होता।",Bhojpuri,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
"मेहरोली में तीन दिन सँ बूंद भरि जल नहि आबि रहल अछि, सभ लोक परेशान छी। जल बोर्ड के कोनो खबरि नहि छै, जल्दी पानी के टैंकर भेजू नहि तऽ भारी दिक्कत भऽ जाएत।",Maithili,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
"अखनि जे पानी आबि रहल अछि से एकदम गंदा आ महकैत अछि, अइ सँ पेट खराब भऽ सकैत अछि। कृपा कऽ पाइप लाइन चेक करू आ नीक पानी के व्यवस्था करू।",Maithili,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
कुतुब मीनार के पास मुख्य सड़क पर पाइप लीक भऽ रहल अछि आ फालतू में पानी बहल जा रहल अछि। कनी फुर्सत निकालि कऽ एकरा ठीक कऽ दियौ तऽ बढ़िया रहतै।,Maithili,Water,Low,Delhi Jal Board,cgro@delhijalboard.nic.in
"अचानक पाइप फाटि गेल अछि आ पूरा गली में पानी भरि गेल अछि, घर में पानी घुसि रहल छै। जल्दी मिस्त्री भेजू, नहि तऽ पूरा मोहल्ला डूबि जाएत।",Maithili,Water,High,Delhi Jal Board,cgro@delhijalboard.nic.in
पानी के प्रेशर एतेक कम छै कि मोटर चलला परो छत के टंकी नहि भरि रहल अछि। दिल्ली जल बोर्ड सँ विनती अछि कि प्रेशर बढ़ाबय के देखू।,Maithili,Water,Medium,Delhi Jal Board,cgro@delhijalboard.nic.in
"Bhai, Dwarka Sec 6 ke transformer mein se aag nikal rahi hai, jaldi kisi ko bhejo varna bada kaand ho jayega. Poore mohalle ki light chali gayi hai aur darr lag raha hai.",Hindi,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Sector 6 de park kol bijli di nangi taar thalle latak rahi hai, bache othe khed-de ne. Kise din koi vadda nuksan ho jayega, jaldi banda bhejo check karan vaste.",Hindi,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Since yesterday voltage is coming very low and fluctuating in our flat in Sector 6. My AC is not working and I am scared the fridge will get burnt, please check the local line.",Hindi,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Hamra ghar ke bijli bill ee baar bahut jaada aa gail ba, jabki hum itna use bhi nahi kile bani. Lagta meter kharab ba, kripya karke kouno ke bhej ke check karwa dijiye.",Hindi,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"द्वारका सेक्टर 6 की गली नंबर 4 में काफी दिनों से स्ट्रीट लाइट खराब पड़ी है। रात को अंधेरे की वजह से चोरी का डर लगा रहता है, इसको ठीक करवा दीजिये।",Hindi,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ओखला फेज 2, सी-ब्लॉक में खंभे पर शॉर्ट सर्किट हो रहा है और तार नीचे लटक रहे हैं, प्लीज जल्दी किसी को भेजिये वर्ना कोई बड़ा हादसा हो सकता है।",English,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Why are there so many unscheduled power cuts in Okhla Phase 2 today? It has been 4 hours and we have no update, please fix it soon as work is getting hampered.",English,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Paaji, sadde unit de kol waali street light kafi dinon ton kharab hai, raat nu hanera ho janda hai te workers nu bahut mushkil hundi hai.",English,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Ae sahib, hamar ghar ke meter bahut tezi se bhag raha hai, pichle mahine se double bill aaya hai, kripya kar ke ek baar check kariye.",English,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"Bhai, Okhla Phase 2 mein voltage bahut zyada up-down ho rahi hai subah se, humare machines phookne ka darr hai, please jaldi technician bhejiye.",English,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ਸਾਕੇਤ J-Block ਦੇ ਖੰਭੇ 'ਚੋਂ ਚਿੰਗਾਰੀਆਂ ਨਿਕਲ ਰਹੀਆਂ ਨੇ, ਬਹੁਤ ਖਤਰਨਾਕ ਕੰਮ ਹੈ, ਜਲਦੀ ਬੰਦੇ ਭੇਜੋ ਨਹੀਂ ਤੇ ਅੱਗ ਲੱਗ ਸਕਦੀ ਹੈ।",Punjabi,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ਯਾਰ ਸਾਕੇਤ 'ਚ ਬਾਰ-ਬਾਰ ਪਾਵਰ ਕੱਟ ਲੱਗ ਰਹੇ ਨੇ, ਗਰਮੀ ਨਾਲ ਬੁਰਾ ਹਾਲ ਹੈ ਤੇ ਇਨਵਰਟਰ ਵੀ ਬੋਲ ਗਿਆ, ਕੁਝ ਹੱਲ ਕਰੋ ਇਹਦਾ।",Punjabi,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ਸਾਕੇਤ M-Block ਦੀ ਸਟਰੀਟ ਲਾਈਟ ਪਿਛਲੇ ਚਾਰ ਦਿਨ ਤੋਂ ਬੰਦ ਪਈ ਹੈ, ਰਾਤ ਨੂੰ ਬਹੁਤ ਹਨੇਰਾ ਹੋ ਜਾਂਦਾ ਹੈ ਤੇ ਲੰਘਣਾ ਮੁਸ਼ਕਿਲ ਹੈ।",Punjabi,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ਇਸ ਮਹੀਨੇ ਬਿਜਲੀ ਦਾ ਬਿੱਲ ਡਬਲ ਆ ਗਿਆ ਹੈ ਪਰ ਸਾਡੀ ਵਰਤੋਂ ਉਨੀ ਹੀ ਸੀ, ਲੱਗਦਾ ਮੀਟਰ 'ਚ ਕੋਈ ਖਰਾਬੀ ਹੈ, ਪਲੀਜ਼ ਚੈੱਕ ਕਰਵਾ ਦਿਓ।",Punjabi,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ਸਾਕੇਤ PVR ਦੇ ਪਿੱਛੇ ਵਾਲੀ ਗਲੀ 'ਚ ਬਿਜਲੀ ਦੀਆਂ ਤਾਰਾਂ ਬਹੁਤ ਥੱਲੇ ਲਟਕ ਰਹੀਆਂ ਨੇ, ਬਾਰਿਸ਼ 'ਚ ਕਦੀ ਵੀ ਹਾਦਸਾ ਹੋ ਸਕਦਾ ਹੈ, ਜਲਦੀ ਠੀਕ ਕਰੋ।",Punjabi,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
نجف گڑھ کے تھانہ روڈ پر بجلی کے تاروں سے چنگاریاں نکل رہی ہیں اور پوری گلی کی لائٹ چلی گئی ہے۔ خدارا جلدی کسی کو بھیجیں، کوئی بڑا حادثہ ہو سکتا ہے۔,Urdu,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
بھائی صاحب، نجف گڑھ کے جھرودہ کلاں علاقے میں روزانہ 4-5 گھنٹے بجلی کٹ رہی ہے۔ بچوں کے امتحان چل رہے ہیں، پڑھائی میں بہت دقت ہو رہی ہے، ذرا دیکھئے کیا مسئلہ ہے۔,Urdu,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
ہمارے گھر کے باہر والا اسٹریٹ لائٹ کا کھمبہ پچھلے ایک ہفتے سے بند پڑا ہے۔ رات کو اندھیرے کی وجہ سے باہر نکلنے میں ڈر لگتا ہے، مہربانی کر کے اسے ٹھیک کروا دیں۔,Urdu,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
دھنسا روڈ پر ٹرانسفارمر سے دھواں نکل رہا ہے اور زور دار آوازیں آ رہی ہیں۔ پوری کالونی کی بجلی غائب ہے، کوئی بڑا شارٹ سرکٹ نہ ہو جائے، فوراً ایکشن لیں۔,Urdu,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
اس مہینے کا بجلی کا بل پچھلے مہینے سے تین گنا زیادہ آیا ہے جبکہ ہم نے اتنا استعمال بھی نہیں کیا۔ لگتا ہے میٹر میں کوئی خرابی ہے، پلیز چیک کروائیں۔,Urdu,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ए भइया, मेहरौली के वार्ड 3 में कल रात से बिजली गुल बा, एतनी गर्मी में लईका लोग रोअत बा। जल्दी से लाइन ठीक करा दीं, बहुत परेशानी हो रहल बा।",Bhojpuri,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"मेहरौली के मेन गली में ट्रांसफार्मर से चिंगारी निकलत बा, कवनो बड़ा हादसा हो सकेला। ई तार बहुत नीचे लटकल बा, जल्दी आके देखल जाव ना त खतरा हो जाई।",Bhojpuri,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"सर, इहाँ मेहरौली में वोल्टेज बहुत कम आवत बा, पंखा भी ना चलत ठीक से। अइसन में कवनो कीमती सामान जर जाई त ओकर जिम्मेदार के होई?",Bhojpuri,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"गली नंबर 4 में स्ट्रीट लाइट पिछला हफ्ता से खराब बा, रात के अँधेरा में चले में डर लागत बा। मेहरौली थाना के लगे वाला खंभा के लाइट ठीक करवा दीं भइया।",Bhojpuri,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"हमार ई महीना के बिजली बिल बहुत बेसी आ गइल बा, जबकि घर में खाली दुगो लाइट अउर एगो पंखा चलेला। मीटर चेक करे खातिर कवनो आदमी के भेज दीं, बिल सुधारवावे के बा।",Bhojpuri,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"द्वारका सेक्टर ६ में पोल सं चिंगारी निकल रहल अछि, बहुत डर लगैत अछि। कृपया जल्दी केकरो भेजु नै त पैघ आगि लागि सकैत अछि, अहाँ सब फोनो नै उठा रहल छी।",Maithili,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"हमर घर में वोल्टेज बहुत कम आबि रहल अछि, पंखा आ एसी सेहो नै चलैत अछि। एहन गर्मी में रहनाइ मुश्किल भ गेल अछि, एकरा जल्दी देखु कि की समस्या अछि।",Maithili,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"एहि बेर के बिजली बिल बहुत बेसी आबि गेल अछि, हमर त एतेक खपत सेहो नै छै। मीटर रीडिंग में कोनो गड़बड़ी बुझाइत अछि, एक बेर जांच कय लेब त नीक रहत।",Maithili,Electricity,Low,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"सेक्टर ६ में पिछला ५ घंटा सं बिजली गायब अछि, बच्चा सब सुत नै पाबि रहल अछि। जल्दी बिजली ठीक करू, ई कतेक देर धरि अन्हार रहत?",Maithili,Electricity,High,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"हमर फ्लैट के बाहर वाला स्ट्रीट लाइट १० दिन सं खराब अछि, राति में बहुत अन्हार रहैत अछि। सेफटी के लेल एकरा जल्दी ठीक करवाउ, कतेको बेर कहि चुकल छी।",Maithili,Electricity,Medium,BSES Rajdhani Power Limited,customercare@bsesdelhi.com
"ओखला फेज 2 के मेन रोड पर इतना बड़ा गड्ढा हो रखा है कि कल रात दो बाइक वाले गिरते गिरते बचे। भाई साहब, जल्दी ठीक करवाओ वरना कोई बड़ा एक्सीडेंट हो जाएगा यहाँ!",Hindi,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"ਓਖਲਾ ਫੇਜ਼ 2 ਦੀਆਂ ਸੜਕਾਂ ਦਾ ਬਹੁਤ ਬੁਰਾ ਹਾਲ ਹੈ ਜੀ, ਗੱਡੀ ਚਲਾਉਣਾ ਮੁਸ਼ਕਲ ਹੋ ਗਿਆ ਹੈ। ਪਾਜੀ, ਪਲੀਜ਼ ਇਹਨੂੰ ਜਲਦੀ ਠੀਕ ਕਰਵਾਓ, ਬਹੁਤ ਪਰੇਸ਼ਾਨੀ ਹੋ ਰਹੀ ਹੈ।",Hindi,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
The service road in Okhla Phase 2 is full of construction debris and big stones for the last two weeks. It is very difficult to drive during office hours.,Hindi,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"भैया, ई ओखला फेज 2 वाला रोडवा त एकदम टूट गइल बा, तनिक सा बारिश में पूरा पानी भर जाला। पैदल चलना मुश्किल हो गइल बा, तनी मरम्मत करवा दीं ना!",Hindi,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"Okhla Phase 2 main road pe jo naye speed breakers bane hain unpe white paint nahi hai, raat ko dikhte nahi hain. Chalti gaadi jhatka khati hai, please marking karwa do.",Hindi,Roads,Low,Public Works Department Delhi,pwd-delhi@nic.in
"The main road right outside Saket Metro Station Gate 2 has a huge crater-like pothole. It is a total death trap for bikers at night, please repair it before someone gets seriously hurt.",English,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"साकेत पीवीआर अनुपम के पास जो स्पीड ब्रेकर हैं उन पर सफेद पट्टी नहीं दिख रही है। रात में गाड़ियाँ बहुत झटके से कूदती हैं, कृपया इसे जल्द पेंट करवा दीजिए।",English,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"ਸਾਕੇਤ ਜੇ ਬਲਾਕ ਦੀਆਂ ਸੜਕਾਂ ਦੇ ਕਿਨਾਰੇ ਵਾਲੀਆਂ ਟਾਇਲਾਂ ਬਹੁਤ ਜਗ੍ਹਾ ਤੋਂ ਟੁੱਟੀਆਂ ਹੋਈਆਂ ਨੇ। ਸਾਨੂੰ ਸਵੇਰੇ ਸੈਰ ਕਰਨ ਵੇਲੇ ਬੜੀ ਦਿੱਕਤ ਆਉਂਦੀ ਹੈ, ਇਹਨੂੰ ਵੇਖ ਲਓ ਜੀ।",English,Roads,Low,Public Works Department Delhi,pwd-delhi@nic.in
There is too much waterlogging on Press Enclave Road near Max Hospital even after light rain. The drainage system is totally blocked and causing massive traffic jams for hours.,English,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"साकेत कोर्ट के पास वाला सड़किया एकदम धँस गईल बा, रोज ओइजा एक्सीडेंट होत बा। ई गड्ढा के जल्दी भरवावल जाय ना त कवनो बड़ घटना हो जाई।",English,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"ਨਜਫਗੜ੍ਹ ਮੇਨ ਮਾਰਕੀਟ ਵਾਲੀ ਸੜਕ 'ਤੇ ਇੰਨੇ ਵੱਡੇ ਟੋਏ ਪੈ ਗਏ ਨੇ ਕਿ ਰੋਜ਼ ਕੋਈ ਨਾ ਕੋਈ ਡਿੱਗਦਾ ਰਹਿੰਦਾ ਹੈ। ਕੱਲ੍ਹ ਇੱਕ ਸਕੂਟਰ ਵਾਲੇ ਦਾ ਐਕਸੀਡੈਂਟ ਹੋ ਗਿਆ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਖਤਰਾ ਹੈ ਇੱਥੇ।",Punjabi,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"ਨਜਫਗੜ੍ਹ ਮੈਟਰੋ ਸਟੇਸ਼ਨ ਦੇ ਕੋਲ ਸੜਕ ਦੀ ਹਾਲਤ ਬਿਲਕੁਲ ਖਸਤਾ ਹੈ, ਮਾੜੀ ਜਿਹੀ ਬਾਰਿਸ਼ 'ਚ ਵੀ ਉੱਥੇ ਛੱਪੜ ਬਣ ਜਾਂਦਾ ਹੈ। ਪੈਦਲ ਚੱਲਣ ਵਾਲਿਆਂ ਲਈ ਰਸਤਾ ਹੀ ਨਹੀਂ ਬਚਿਆ, ਪਲੀਜ਼ ਇਹਨੂੰ ਠੀਕ ਕਰਵਾਓ।",Punjabi,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"ਫਿਰਨੀ ਰੋਡ 'ਤੇ ਸੜਕ ਵਿਚਕਾਰ ਇੱਕ ਬਹੁਤ ਡੂੰਘਾ ਟੋਆ ਹੈ ਜਿਸ ਕਰਕੇ ਸਾਰਾ ਦਿਨ ਜਾਮ ਲੱਗਿਆ ਰਹਿੰਦਾ ਹੈ। ਅੱਧੀ ਰਾਤ ਨੂੰ ਕਿਸੇ ਨੂੰ ਇਹ ਦਿਖਦਾ ਨਹੀਂ, ਜਲਦੀ ਰਿਪੇਅਰ ਕਰੋ ਨਹੀਂ ਤਾਂ ਕੋਈ ਵੱਡਾ ਹਾਦਸਾ ਹੋ ਜਾਊ।",Punjabi,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"ਢਾਂਸਾ ਰੋਡ 'ਤੇ ਸਕੂਲ ਦੇ ਕੋਲ ਸਪੀਡ ਬ੍ਰੇਕਰ ਬਿਲਕੁਲ ਘਿਸ ਚੁੱਕੇ ਨੇ, ਜਿਸ ਕਰਕੇ ਗੱਡੀਆਂ ਬਹੁਤ ਤੇਜ਼ ਨਿਕਲਦੀਆਂ ਨੇ। ਬੱਚਿਆਂ ਦੀ ਸੇਫਟੀ ਲਈ ਇੱਥੇ ਦੁਬਾਰਾ ਨਵੇਂ ਬ੍ਰੇਕਰ ਬਣਵਾ ਦਿਓ ਜੀ।",Punjabi,Roads,Low,Public Works Department Delhi,pwd-delhi@nic.in
ਨਜਫਗੜ੍ਹ ਦੀਆਂ ਅੰਦਰਲੀਆਂ ਸੜਕਾਂ 'ਤੇ ਧੂੜ-ਮਿੱਟੀ ਬਹੁਤ ਉੱਡਦੀ ਹੈ ਕਿਉਂਕਿ ਰੋਡ ਦੀ ਉੱਪਰਲੀ ਲੇਅਰ ਉੱਖੜ ਚੁੱਕੀ ਹੈ। ਜੇ ਮਾੜਾ ਜਿਹਾ ਪੈਚਵਰਕ ਹੋ ਜਾਵੇ ਤਾਂ ਆਮ ਜਨਤਾ ਨੂੰ ਬਹੁਤ ਰਾਹਤ ਮਿਲੇਗੀ।,Punjabi,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
بھول بھلیاں کے پاس سڑک میں اتنا بڑا گڑھا ہے کہ کل ایک بائیک والا بال بال بچا، اسے فوراً ٹھیک کروائیں ورنہ کوئی بڑا حادثہ ہو جائے گا۔,Urdu,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
مہرولی مین مارکیٹ کی سڑک پوری طرح ٹوٹ چکی ہے، اڑتی دھول کی وجہ سے دکانداروں کا جینا محال ہو گیا ہے، ذرا اس پر توجہ دیں۔,Urdu,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
وارڈ نمبر 8 کی اندرونی گلیوں میں گاڑیاں بہت تیز چلتی ہیں، یہاں ایک دو چھوٹے اسپیڈ بریکر لگوا دیں تو بڑی مہربانی ہوگی۔,Urdu,Roads,Low,Public Works Department Delhi,pwd-delhi@nic.in
قطب مینار میٹرو کے پاس مین روڈ پر کسی نے ملبے کا ڈھیر لگا دیا ہے جس سے آدھا راستہ بند ہے، اسے فوراً ہٹوانے کی زحمت کریں۔,Urdu,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
درگاہ قطب الدین بختیار کاکی والی روڈ کافی اونچی نیچی ہو گئی ہے، اسے تھوڑے پیچ ورک کی ضرورت ہے تاکہ زائرین کو دشواری نہ ہو۔,Urdu,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"द्वारका सेक्टर 6 के मेन रोड पर एतना बड़का गढ्ढा बा कि कल एगो स्कूटी वाला गिर के चोटिल हो गइल। PWD साहब, का कौनों के जान गइला के इंतजार बा? एकरा के तुरंत भरवावल जाव।",Bhojpuri,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"सेक्टर 6 के मार्केट वाली सड़क एकदम ऊबड़-खाबड़ हो गइल बा, गाड़ी चलावे में कमर टूट जाता। तनी मरम्मत करवा दीं त जनता के आशीर्वाद मिली।",Bhojpuri,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"रोड के किनारे बहुत सारा रोड़ा-पत्थर छितरायल बा, जवना से साइकिल अउर पैदल चले वाला लोग के दिक्कत होता। एकरा के हटवा देहब त नीक रही।",Bhojpuri,Roads,Low,Public Works Department Delhi,pwd-delhi@nic.in
"बरखा के पानी सड़क पर लाग रहल बा काहे कि रोड के लेवल सही नईखे, पूरा कीचड़ हो जाता। सेक्टर 6 में आवाजाही मुश्किल हो गइल बा, जल्दी समाधान करीं।",Bhojpuri,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"इहां जे स्पीड ब्रेकर बनल बा ओकर पेंट उखड़ गइल बा, रात के अन्हार में गाड़ी उछल जाता। एकरा के फेर से पेंट करवा दीं त दुर्घटना ना होई।",Bhojpuri,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"ओखला फेज 2 में ई संजय कॉलोनी वाला रस्ता पूरा टूटल अछि, बड़ पैघ गड्डा भ गेल अछि। कखनो कोनो बड़का एक्सीडेंट भ सकैत अछि, जल्दी ठीक करू।",Maithili,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"मेन रोड पर जे गड्डा सब अछि ओहि में पैन जमा भ जाइत अछि, गाड़ी चलेबा में बहुत दिक्कत होइत अछि। ई इंडस्ट्रियल एरिया अछि, एतय रस्ता नीक होबय के चाही।",Maithili,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
